country,code,year,month,date,gasoline_price_usd_liter
Azerbaijan,AZE,2017,5,2017-05-03,0.5898796704460257
Azerbaijan,AZE,2017,6,2017-06-03,0.5911356839646761
Azerbaijan,AZE,2017,7,2017-07-03,0.5906957155067667
Azerbaijan,AZE,2017,8,2017-08-03,0.5867315357052543
Azerbaijan,AZE,2017,9,2017-09-03,0.588779395547297
Azerbaijan,AZE,2017,10,2017-10-03,0.5885420283747883
Azerbaijan,AZE,2017,11,2017-11-03,0.5886286365477166
Azerbaijan,AZE,2017,12,2017-12-03,0.5883225042771046
Azerbaijan,AZE,2018,1,2018-01-03,0.5887506240756615
Azerbaijan,AZE,2018,2,2018-02-03,0.5907634140217696
Azerbaijan,AZE,2018,3,2018-03-03,0.5896727080601183
Azerbaijan,AZE,2018,4,2018-04-03,0.5898351351813654
Azerbaijan,AZE,2018,5,2018-05-03,0.590227833846143
Azerbaijan,AZE,2018,6,2018-06-03,0.589374520396484
Azerbaijan,AZE,2018,7,2018-07-03,0.588967692766181
Azerbaijan,AZE,2018,8,2018-08-03,0.5891845744408197
Azerbaijan,AZE,2018,9,2018-09-03,0.5889281507656066
Azerbaijan,AZE,2018,10,2018-10-03,0.589494037267813
Azerbaijan,AZE,2018,11,2018-11-03,0.5894645009740901
Azerbaijan,AZE,2018,12,2018-12-03,0.5887218554157995
Azerbaijan,AZE,2019,1,2019-01-03,0.5890637950199369
Azerbaijan,AZE,2019,2,2019-02-03,0.5882352941176471
Azerbaijan,AZE,2019,3,2019-03-03,0.5883010454109577
Azerbaijan,AZE,2019,4,2019-04-03,0.5883612726489672
Azerbaijan,AZE,2019,5,2019-05-03,0.5883557339973124
Azerbaijan,AZE,2019,6,2019-06-03,0.5883650805324704
Azerbaijan,AZE,2019,7,2019-07-03,0.5888227313837805
Azerbaijan,AZE,2019,8,2019-08-03,0.5885659296840284
Azerbaijan,AZE,2019,9,2019-09-03,0.58825190358316
Azerbaijan,AZE,2019,10,2019-10-03,0.5883706193600999
Azerbaijan,AZE,2019,11,2019-11-03,0.5888539371363092
Azerbaijan,AZE,2019,12,2019-12-03,0.5884713749869065
Azerbaijan,AZE,2020,1,2020-01-03,0.5885063532203362
Azerbaijan,AZE,2020,2,2020-02-03,0.5885555375719141
Azerbaijan,AZE,2020,3,2020-03-03,0.5892119996559002
Azerbaijan,AZE,2020,4,2020-04-03,0.5885815185403178
